date,manager,profit,flow,equity_sod,roe
3/10/2017,PAR,1538960.04,0,5294666294,0.000291
3/13/2017,PAR,-11966084.35,0,5296205254,-0.002259
3/14/2017,PAR,-68045747.98,0,5284239170,-0.012877
3/15/2017,PAR,78409898.03,0,5216193422,0.015032
3/16/2017,PAR,-19309312.93,0,5294603320,-0.003647
3/17/2017,PAR,-28790418,0,5275294007,-0.005458
3/20/2017,PAR,-20543440.27,0,5246503589,-0.003916
3/21/2017,PAR,-96564614.26,0,5225960149,-0.018478
3/22/2017,PAR,18831354.42,0,5129395535,0.003671
3/23/2017,PAR,-13650317.12,0,5148226889,-0.002651
3/24/2017,PAR,-11009868.69,0,5134576572,-0.002144
3/27/2017,PAR,47260360.07,0,5123566703,0.009224
3/28/2017,PAR,72559355.71,0,5170827063,0.014032
3/29/2017,PAR,20207327.93,0,5243386419,0.003854
3/30/2017,PAR,12452476.67,0,5263593747,0.002366
3/31/2017,PAR,-19440258.71,0,5276046224,-0.003685
4/3/2017,PAR,-19166339.02,0,5256605965,-0.003646
4/4/2017,PAR,-2898530.71,0,5237439626,-0.000553
4/5/2017,PAR,-18273301.5,0,5234541095,-0.003491
4/6/2017,PAR,47604527.68,0,5216267794,0.009126
4/7/2017,PAR,4485597.95,0,5263872321,0.000852
4/10/2017,PAR,41960416.35,300000,5268657919,0.007964
4/11/2017,PAR,-19470071.65,0,5310618336,-0.003666
4/12/2017,PAR,-39493641.5,0,5291148264,-0.007464
4/13/2017,PAR,-43253147.07,0,5251654622,-0.008236
4/17/2017,PAR,50770769.39,0,5208401475,0.009748
4/18/2017,PAR,-43548885.8,0,5259172245,-0.008281
4/19/2017,PAR,38428936.67,0,5215623359,0.007368
4/20/2017,PAR,31050641.1,0,5254052296,0.00591
4/21/2017,PAR,-20406087.28,0,5285102937,-0.003861
4/24/2017,PAR,35703443.8,0,5264696849,0.006782
4/25/2017,PAR,23547125.06,0,5300400293,0.004443
4/26/2017,PAR,40601102.84,0,5323947418,0.007626
4/27/2017,PAR,77612680.28,0,5364548521,0.014468
4/28/2017,PAR,8828802.06,0,5442161201,0.001622
5/1/2017,PAR,34598274.98,0,5450990004,0.006347
5/2/2017,PAR,88089128.53,0,5485588279,0.016058
5/3/2017,PAR,-2019712.86,0,5573677407,-0.000362
